trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
63,False,"{'a': 0.75, 'e': 0.0002519526329050139}",20,6,26.32204377818376,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.75, 'e': 0.000244140625}",20,0,23.89344379553239,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
65,False,"{'a': 0.75, 'e': 0.00023668639053254438}",20,0,5.099767626381257,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
66,False,"{'a': 0.75, 'e': 0.0002295684113865932}",20,8,18.39450275000342,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.75, 'e': 0.00022276676319893073}",25,17,15.592343429496005,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.75, 'e': 0.00021626297577854672}",25,0,33.327928262914746,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
69,False,"{'a': 0.75, 'e': 0.00021003990758244065}",35,13,29.56011110450036,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.75, 'e': 0.00020408163265306123}",20,8,17.478096720001428,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.75, 'e': 0.00019837333862328903}",20,0,23.029418856391047,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
72,False,"{'a': 0.75, 'e': 0.00019290123456790122}",20,4,22.466088345081857,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.75, 'e': 0.00018765246762994934}",30,16,27.120143456469147,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.75, 'e': 0.00018261504747991235}",20,6,25.342804136305478,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.75, 'e': 0.00017777777777777779}",20,0,27.136134191862222,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
76,False,"{'a': 0.75, 'e': 0.00017313019390581717}",20,5,22.829344315157385,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.75, 'e': 0.00016866250632484398}",20,7,26.27508304653437,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.75, 'e': 0.0001643655489809336}",20,10,15.35875805876188,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.75, 'e': 0.0001602307322544464}",30,13,33.12300613077669,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.75, 'e': 0.00015625}",20,0,26.419670841727957,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
81,False,"{'a': 0.75, 'e': 0.00015241579027587258}",20,2,24.863788506912886,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.75, 'e': 0.000148720999405116}",25,7,30.928669654580936,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.75, 'e': 0.00014515894904920887}",25,0,32.82566630230143,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
